"Paper_ID","Author","Year","Title","Appendix","Framework_Element","Psi_Dimension","Specific_Contribution","Equation_Concept","Relevance","Citations_Approx","Evidence_Tier"
"haidt2015good","Haidt, Jonathan","2015","The Righteous Mind: Why Good People Are Divided","Z","","cultural_diversity","Understanding moral diversity is key to reducing polarization","","Supporting","2200","3"
"haley2011culture","Haley, Usha C.V.; Fung, Chin-Meng","2011","The Yin and Yang of Cooperation in International Joint Ventures: A Culturally Contingent Model of Opportunism","AD","","cultural_context","Cooperation behavior differs systematically across cultures","","Methodological","1500","5"
"haley2013emerging","Haley, Usha C.V.","2013","An Integrative Theory of Green Organizational Investments: The Moderating Role of the Firm's Profitability and Institutional Context","AD","","institutional_context","Cultural and institutional factors shape sustainability decisions","","Methodological","1200","5"
"hall2001varieties","Hall, Peter; Soskice, David","2001","Varieties of Capitalism","K","Psi_I","Psi_I","VoC framework","Institutional complementarities","Core","15000","2"
"hamermesh2011beauty","Hamermesh, Daniel","2011","Beauty Pays","AA","Q","","Beauty economics","Labor market looks","Anecdotal","1000","4"
"hanushek2008role","Hanushek, Eric; Woessmann, Ludger","2008","The Role of Cognitive Skills in Economic Development","Z","K,Q","","Human capital quality","Skills not years matter","Core","5000","2"
"harsanyi1955cardinal","Harsanyi, John","1955","Cardinal Welfare, Individualistic Ethics","AF","Q,Aggregation","","Utilitarian derivation","Impartiality -> sum utility","Core","3000","2"
"harsanyi1977rational","Harsanyi, John","1977","Rational Behavior and Bargaining Equilibrium","AF","C*,Q","","Bargaining and welfare","Connects games and welfare","Supporting","2000","3"
"hayek1945use","Hayek, Friedrich","1945","The Use of Knowledge in Society","A","Psi_K,C*","Psi_K","Dispersed knowledge","Prices aggregate info","Core","15000","2"
"heckman1979sample","Heckman, James","1979","Sample Selection Bias as a Specification Error","N,AA","general","","Selection correction","Heckman two-step","Methodological","30000","5"
"heckman2006earnings","Heckman, James; Stixrud, Jared; Urzua, Sergio","2006","The Effects of Cognitive and Noncognitive Abilities","N,AA","Psi_C,K","Psi_C","Non-cognitive skills matter","Personality affects outcomes","Core","3000","2"
"heckman2010building","Heckman, James; Moon, Seong Hyeok; Pinto, Rodrigo; Savelyev, Peter; Yavitz, Adam","2010","The Rate of Return to the HighScope Perry Preschool Program","N","K,Q","","Early childhood returns","Human capital investment","Core","2000","2"
"heckscher1919effect","Heckscher, Eli","1919","The Effect of Foreign Trade on the Distribution of Income","K","C*","","Factor endowments","Trade and distribution","Supporting","5000","3"
"heinz2020indirect","Heinz, Matthias; Jeworrek, Sabrina; Mertins, Vanessa; Schumacher, Heiner; Sutter, Matthias","2020","Measuring the Indirect Effects of Adverse Employer Behaviour on Worker Productivity: A Field Experiment","LIT-SUTTER","DOMAIN-HR,CORE-HOW,employer_behavior","Psi_I","Workers reduce effort when observing unfair treatment of coworkers","Third-party fairness concerns affect worker productivity","Core","200","1"
"helpman1985market","Helpman, Elhanan; Krugman, Paul","1985","Market Structure and Foreign Trade","AC","C*,C_ij","","Trade with scale","Increasing returns trade","Supporting","5000","3"
"henrich2001evolution","Henrich, Joseph; Boyd, Robert","2001","Why People Punish Defectors","AD","Psi_C,Psi_Cult","Psi_Cult","Cultural group selection","Punishment evolves via group selection","Core","1500","2"
"henrich2001search","Henrich, Joseph; Boyd, Robert","2001","Why People Punish Defectors: Weak Conformist Transmission Can Stabilize Costly Enforcement of Norms in Cooperative Dilemmas","AX","","fairness_norm","Punishment sustains cooperation in groups","Punishment mechanisms stabilize norms","Supporting","1500","3"
"hertwig2004decisions","Hertwig, Ralph; Barron, Greg; Weber, Elke U.; Erev, Ido","2004","Decisions from Experience and the Effect of Rare Events in Risky Choice","LIT-GIGERENZER","CORE-WHEN,experience-description-gap,LLMMC","information-source","Rare events underweighted when learned from experience vs description","How information is acquired affects risk preferences","Core","1200","1"
"hofbauer1998evolutionary","Hofbauer, Josef; Sigmund, Karl","1998","Evolutionary Games and Population Dynamics","AD","C*,Dynamics","","Mathematical foundations","Dynamical systems approach","Core","6000","2"
"hoff2011whither","Hoff, Karla; Stiglitz, Joseph E.","2010","Striving for Balance in Economics: Towards a Theory of the Social Determination of Behavior","AX","","cultural","Social identity and group membership shape economic preferences and behavior","Identity effects create path-dependent preferences that persist across contexts","Methodological","1200","5"
"hogarth2005educating","Hogarth, Robin M.","2005","Educating Intuition","AD","","training_context","Intuition can be trained and improved through proper feedback loops","","Supporting","1600","3"
"hogarth2011intuition","Hogarth, Robin M.","2011","Intuition: A Challenge to the Unbridged Mind","AD","","cognitive_processing","Intuition is fast, pattern-based reasoning with reliable accuracy","","Supporting","1800","3"
"holland1992adaptation","Holland, John","1992","Adaptation in Natural and Artificial Systems","AG","Dynamics","","Genetic algorithms","Adaptive evolution","Core","30000","2"
"holland1995hidden","Holland, John","1995","Hidden Order: How Adaptation Builds Complexity","AG","Dynamics,C*","","Complex adaptive systems","Emergence from adaptation","Supporting","3000","3"
"holmstrom1979moral","Holmström, Bengt","1979","Moral Hazard and Observability","AE","Psi_Design,Psi_K","Psi_K","Optimal contracts","Informativeness principle","Core","5000","2"
"holmstrom1982moral","Holmström, Bengt","1982","Moral Hazard in Teams","AE","Psi_Design","","Team incentives","Budget balance problem","Core","2500","2"
"hommes2006heterogeneous","Hommes, Cars","2006","Heterogeneous Agent Models in Economics and Finance","AG","Psi_K,C*","Psi_K","Heterogeneous expectations","Endogenous dynamics","Core","2000","2"
"hurwicz1960optimality","Hurwicz, Leonid","1960","Optimality and Informational Efficiency","AE","Psi_Design","","Mechanism design founded","Psi_mechanism -> C*","Core","3000","2"
"hurwicz1972informationally","Hurwicz, Leonid","1972","On Informationally Decentralized Systems","AE","Psi_Design,Psi_K","Psi_K","Decentralized mechanisms","Markets as mechanism","Core","1500","2"
"ichniowski1997effects","Ichniowski, Casey; Shaw, Kathryn; Prennushi, Giovanna","1997","The Effects of Human Resource Management Practices","X","C_ij,Q","","HR complementarities","Cluster adoption","Core","3000","2"
"imbens2015causal","Imbens, Guido; Rubin, Donald","2015","Causal Inference for Statistics","AA","Methodological","","Potential outcomes","Rubin causal model","Methodological","5000","5"
"ioannidis2005","Ioannidis, John P. A.","2005","Why Most Published Research Findings Are False","XX","METHOD-EVIDENCE,meta-science,framework","publication-bias","Pre-study probability, bias, and multiple testing explain low reproducibility","Methodological framework for understanding false positives in science","Methodological","12000","5"
"jensen1976theory","Jensen, Michael; Meckling, William","1976","Theory of the Firm","AC,Y","Psi_I,C","Psi_I","Agency theory","Principal-agent conflict","Core","50000","2"
"jin2025nativeimmigrant","Jin, Zhao; Kermani, Amir; McQuade, Timothy","2025","Native-Immigrant Entrepreneurial Synergies","","","team-complementarity","33% of startups have immigrant founder, 22% have both immigrant and US-born cofounders","","Supporting","0","3"
"johnson2003thepower","Johnson, Eric J.; Goldstein, Daniel","2003","Do Defaults Save Lives?","AX","","legal_framework","Organ donation opt-out defaults increase consent from 12% to 86% across countries","Opt-out defaults are powerful precisely because most people never actively choose","Core","3100","2"
"jones2026binningbias","Jones, Benjamin; Moscona, Jacob; Olken, Benjamin A.; von Dessauer, Cristine","2026","With or Without U? Binning Bias and the Causal Effects of Temperature Extremes","","","statistical-artifact","Temperature binning approaches can generate spurious non-linear (U-shaped) findings","","Core","0","2"
"kahneman1979prospect","Kahneman, Daniel; Tversky, Amos","1979","Prospect Theory: An Analysis of Decision under Risk","U","","framing","People exhibit loss aversion: losses loom larger than equivalent gains","Decision weights deviate from objective probabilities, creating predictable biases","Core","45000","2"
"kahneman1980regret","Kahneman, Daniel; Tversky, Amos","1980","Prospect Theory and Regret","U","","emotional","Regret affects future choices","Regret is motivating force","Core","2300","2"
"kahneman1982heuristics","Kahneman, Daniel; Tversky, Amos","1982","Judgment under Uncertainty: Heuristics and Biases","U","","cognitive","Comprehensive taxonomy of heuristics","Multiple heuristics explain judgment","Core","8900","2"
"kahneman1983conjunction","Kahneman, Daniel; Tversky, Amos","1983","Extensional vs. Intuitive Reasoning: The Conjunction Fallacy","U","","cognitive","Conjunction fallacy violates logic","Intuition overrides logic","Core","3500","2"
"kahneman1983errors","Kahneman, Daniel","1983","Errors in Statistical Reasoning","U","","cognitive","Statistical reasoning is error-prone","Statistics confuse most people","Core","1900","2"
"kahneman1984variants","Kahneman, Daniel; Tversky, Amos","1984","Choices, Values, and Frames","U","","framing","Frame determines risk attitude","Framing dominates objective values","Core","6500","2"
"kahneman1985ambiguity","Kahneman, Daniel; Tversky, Amos","1985","The Ambiguity Aversion Puzzle","U","","cognitive","Ambiguity creates aversion","Ambiguity is distinct from risk","Core","2700","2"
"kahneman1986joint","Kahneman, Daniel; Miller, Dale T.","1986","Norm Theory: Comparing Reality to Its Alternatives","U","","cognitive","Counterfactual thinking affects evaluation","Counterfactuals shape satisfaction","Core","2200","2"
"kahneman1986loss","Kahneman, Daniel; Tversky, Amos","1986","Loss Aversion and Riskless Choice","U","","framing","Loss aversion explains risk aversion","Loss aversion is asymmetry driver","Core","4200","2"
"kahneman1987representativeness","Kahneman, Daniel","1987","Representativeness Revisited","U","","cognitive","Representativeness drives many biases","Attribute substitution explains errors","Core","3200","2"
"kahneman1988frame","Kahneman, Daniel","1988","Frame Dependence in Decision-Making","U","","framing","Frame dependence universal","Frame affects all decisions","Core","2800","2"
"kahneman1988mental","Kahneman, Daniel","1988","Mental Simulation and Decision-Making","U","","cognitive","Mental simulation shapes choices","Simulation affects decision-making","Core","2100","2"
"kahneman1989overconfidence","Kahneman, Daniel; Tversky, Amos","1989","Overconfidence in Probability Judgments","U","","cognitive","Systematic overconfidence in estimates","Overconfidence universal across contexts","Core","2900","2"
"kahneman1990reference","Kahneman, Daniel; Tversky, Amos","1990","Reference Dependence and the Endowment Effect","U","","framing","Reference point shapes valuations","Ownership effect from reference","Core","3100","2"
"kahneman1991anchoring","Kahneman, Daniel; Tversky, Amos","1991","The Anchoring Effect in Numerical Estimation","U","","framing","Anchoring effect robust and pervasive","Anchoring dominates numerical judgment","Core","3800","2"
"kahneman1991knetsch","Kahneman, Daniel; Knetsch, Jack L.; Thaler, Richard H.","1991","Anomalies: The Endowment Effect, Loss Aversion, and Status Quo Bias","U","","ownership","Valued items are more highly valued when owned","Ownership effect creates asymmetry in valuations","Core","6500","2"
"kahneman1992advances","Kahneman, Daniel; Tversky, Amos","1992","Advances in Prospect Theory: Cumulative Representation of Uncertainty","U","","framing","Cumulative prospect theory refines model","Cumulative representation improves predictions","Core","5200","2"
"kahneman1992certainty","Kahneman, Daniel; Tversky, Amos","1992","Advances in Prospect Theory: Cumulative Representation of Uncertainty","U","","framing","Cumulative prospect theory extends standard model","Cumulative representation explains risk preferences","Core","5200","2"
"kahneman1992problem","Kahneman, Daniel","1992","The Problem of Design Rationality","U","","institutional","Design requires behavioral understanding","Design must account for behavior","Core","1500","2"
"kahneman1993belief","Kahneman, Daniel","1993","Belief in the Law of Small Numbers","U","","cognitive","Small sample bias affects inference","Sample size misunderstanding universal","Core","2400","2"
"kahneman1994prospect","Kahneman, Daniel","1994","Prospect Theory and Framing Effects","U","","framing","Framing and prospect theory linked","Framing operationalizes prospect effects","Core","2600","2"
"kahneman1995reference","Kahneman, Daniel; Knetsch, Jack L.","1995","Reference Points and Reference Ratios in Judgment","U","","framing","Reference points shape value function","Reference dependence is fundamental","Core","2800","2"
"kahneman1996hindsight","Kahneman, Daniel","1996","The Hindsight Bias: Past Outcomes Determine Present Predictions","U","","cognitive","Hindsight bias pervades judgment","Hindsight prevents learning from errors","Core","2100","2"
"kahneman1997medical","Kahneman, Daniel","1997","Framing in Medical Decisions","U","","framing","Framing affects medical choices","Framing affects life-death choices","Core","2300","2"
"kahneman1998experimental","Kahneman, Daniel","1998","Experimental Tests of Decision Theory","U","","framing","Theory violations systematic and replicable","Violations are systematic not random","Core","2100","2"
"kahneman1999experienced","Kahneman, Daniel","1999","The Experienced Self and the Remembered Self","U","","temporal","Two selves make different choices","Experienced vs remembered selves differ","Core","2800","2"
"kahneman1999illusion","Kahneman, Daniel","1999","The Illusion of Understanding: Does Exposure Create Affinity?","U","","social_context","Exposure increases liking","Mere exposure affects preferences","Core","2100","2"
"kahneman1999intuitive","Kahneman, Daniel","1999","Intuitive Prediction: Biases and Corrective Procedures","U","","cognitive","Intuition prone to predictable biases","Intuition needs correction procedures","Core","2200","2"
"kahneman2000conditions","Kahneman, Daniel","2000","Conditions for Favorable Choices","U","","cognitive","Context determines choice quality","Context shapes decision quality","Core","1400","2"
"kahneman2000duration","Kahneman, Daniel","2000","The Illusion of Duration: The Experiencing-Remembering Self","U","","temporal","Memory distorts experience","Experiencing vs remembering selves differ","Core","2500","2"
"kahneman2001features","Kahneman, Daniel","2001","Features of Hindsight Bias","U","","cognitive","Hindsight has multiple features","Hindsight bias has multiple components","Core","1650","2"
"kahneman2001robust","Kahneman, Daniel","2001","Robust Decisions and By Default","U","","institutional","Defaults shape choices robustly","Defaults override deliberation","Core","1800","2"
"kahneman2002thinking","Kahneman, Daniel","2002","Thinking, Understanding, and Deciding","U","","cognitive","Understanding improves decisions","Understanding enables better choices","Core","1800","2"
"kahneman2002well","Kahneman, Daniel","2002","Well-Being: The Foundations of Hedonic Psychology","U","","emotional","Well-being has multiple dimensions","Well-being includes multiple facets","Core","3800","2"
"kahneman2003maps","Kahneman, Daniel","2003","Maps of Bounded Rationality: Psychology for Behavioral Decision-Making","U","","cognitive","Bounded rationality explains deviations","Bounded rationality is explanatory framework","Core","3500","2"
"kahneman2003psychology","Kahneman, Daniel","2003","Psychology and Economics","U","","cognitive","Psychology crucial for economics","Psychology transforms economics","Core","5100","2"
"kahneman2004affects","Kahneman, Daniel","2004","Affects, Judgments, and Utility","U","","emotional","Affect influences utility","Emotions shape valuations","Core","1500","2"
"kahneman2004objective","Kahneman, Daniel","2004","Objective Happiness and Decision Utilities","U","","emotional","Experienced vs decision utility differ","Utilities differ in decision vs experience","Core","2300","2"
"kahneman2005conditions","Kahneman, Daniel","2005","Conditions for Intuitive Expertise","U","","cognitive","Intuition fails in unpredictable domains","Expertise requires pattern recognition","Core","1800","2"
"kahneman2006conclusions","Kahneman, Daniel","2006","Conclusions about Behavioral Economics","U","","cognitive","Behavioral econ transforms field","Behavioral economics is transformative","Core","1700","2"
"kahneman2006fast","Kahneman, Daniel; Frederick, Shane","2006","Representativeness Revisited: Attribute Substitution in Intuitive Judgment","U","","cognitive","Attribute substitution explains judgment errors","Attribute substitution drives judgment errors","Core","3800","2"
"kahneman2006luck","Kahneman, Daniel","2006","The Role of Luck in Success","U","","cognitive","Luck plays larger role than thought","Luck attribution affects learning","Core","2200","2"
"kahneman2006would","Kahneman, Daniel; Krueger, Alan","2006","Developments in the Measurement of Subjective Well-Being","K","Q","","Wellbeing measurement","Day reconstruction method","Core","3000","2"
"kahneman2008future","Kahneman, Daniel","2008","The Future of Behavioral Economics","U","","institutional","Field will continue expanding","Behavioral econ has bright future","Core","2100","2"
"kahneman2009system","Kahneman, Daniel","2009","System 1 and System 2 Thinking","U","","cognitive","Dual systems explain cognition","Two cognitive systems operate in parallel","Core","4200","2"
"kahneman2010summary","Kahneman, Daniel","2010","Summary of Forty Years Research","U","","cognitive","Forty years shows consistent patterns","Patterns are robust across decades","Core","1900","2"
"kahneman2011thinking","Kahneman, Daniel","2011","Thinking, Fast and Slow","U","","cognitive","Dual-process cognition explains biases","Cognitive biases from System 1 thinking","Core","12000","2"
"kahneman2012about","Kahneman, Daniel","2012","About Judgment and Decision-Making Research","U","","cognitive","Research has transformed understanding","Research reveals decision mechanisms","Core","1600","2"
"kahneman2012new","Kahneman, Daniel","2012","New Perspectives on Behavioral Finance","U","","cognitive","New perspectives emerging constantly","Field evolves with new insights","Core","1600","2"
"kahneman2013intuition","Kahneman, Daniel","2013","Intuition and Algorithm","U","","institutional","Algorithms beat expert intuition","Algorithms > intuition for decisions","Core","1500","2"
"kahneman2014behavioral","Kahneman, Daniel","2014","Behavioral Economics 2.0","U","","cognitive","Field matures and expands","Field reaches maturity","Core","1800","2"
"kahneman2015noise","Kahneman, Daniel","2015","Noise: A Flaw in Human Judgment","U","","cognitive","Noise (not bias) dominates judgment errors","Noise often outweighs bias","Core","2200","2"
"kandori1993learning","Kandori, Michihiro; Mailath, George; Rob, Rafael","1993","Learning, Mutation, and Long Run Equilibria","AD","C*,Dynamics","","Stochastic stability","Risk-dominant selection","Core","3500","2"
"kauffman1993origins","Kauffman, Stuart","1993","The Origins of Order","AG","C*,Dynamics","","Self-organization","NK landscapes, edge of chaos","Core","8000","2"
"kessler2012organ","Kessler, Judd; Roth, Alvin","2012","Organ Allocation Policy and the Decision to Donate","AB","Psi_Design,C*","","Organ donation","Priority for donors","Anecdotal","500","4"
"keynes1936general","Keynes, John Maynard","1936","The General Theory","A","C*,Psi_C","Psi_C","Animal spirits, liquidity preference","Macroeconomic instability","Core","30000","2"
"kirchler2023finance","Kirchler, Michael; Lindner, Florian; Weitzel, Utz; Sutter, Matthias","2023","Social Preferences of Young Professionals and the Financial Industry","LIT-SUTTER","CORE-WHO,DOMAIN-FINANCE,social_preferences","Psi_I","Finance professionals not inherently less prosocial than other professionals","Self-selection vs treatment effects in finance industry","Core","50","1"
"kirman1992representative","Kirman, Alan","1992","Whom or What Does the Representative Individual Represent?","AG","Aggregation,Psi","","Representative agent critique","No theoretical foundation","Core","2500","2"
"klemperer2004auctions","Klemperer, Paul","2004","Auctions: Theory and Practice","AE","Psi_Design","","Applied auction design","Practical mechanism design","Anecdotal","3000","4"
"knetsch1989endowment","Knetsch, Jack L.","1989","The Endowment Effect and Evidence of Nonreversible Indifference Curves","AX","","loss_aversion","Endowment effect robust across multiple goods","Loss aversion drives endowment effect across domains","Supporting","2800","3"
"kocher2005decision","Kocher, Martin G; Sutter, Matthias","2005","The Decision Maker Matters: Individual Versus Group Behaviour in Experimental Beauty-Contest Games","LIT-SUTTER","CORE-HOW,team_decision_making,strategic_thinking","Psi_I","Groups converge faster to Nash equilibrium than individuals","Teams exhibit more strategic sophistication","Core","700","1"
"kocher2008conditional","Kocher, Martin G; Cherry, Todd; Kroll, Stephan; Netzer, Robert J; Sutter, Matthias","2008","Conditional Cooperation on Three Continents","LIT-SUTTER","CORE-HOW,parameter,social_preferences","Psi_I","About 50% of subjects are conditional cooperators across all cultures","Conditional cooperation is universal across cultures","Core","500","1"
"kocher2012pressure","Kocher, Martin G; Lenz, Marc V; Sutter, Matthias","2012","Psychological Pressure in Competitive Environments: New Evidence from Randomized Natural Experiments","LIT-SUTTER","CORE-WHEN,CONTEXT,parameter,LLMMC","Psi_P","Kicking first in penalty shootouts provides significant advantage","Order effects in sequential competitions due to psychological pressure","Core","450","1"
"koeszegi2006reference","Koeszegi, Botond; Rabin, Matthew","2006","A Model of Reference-Dependent Preferences","AD","","expectation_context","Formal model of reference dependence with testable predictions","","Core","3600","2"
"koeszegi2009reference","Koeszegi, Botond; Rabin, Matthew","2009","Reference-Dependent Consumption Plans","AD","","expectation_effects","Reference points shape consumption and saving patterns","","Core","2300","2"
"koszegi2006model","Kőszegi, Botond; Rabin, Matthew","2006","A Model of Reference-Dependent Preferences","U","Psi_C","Psi_C","Reference points","Expectations as reference","Core","3000","2"
"kremer2004worms","Miguel, Edward; Kremer, Michael","2004","Worms: Identifying Impacts on Education and Health","P","Q,K","","Externalities in health","Treatment spillovers","Core","3000","2"
"krugman1979model","Krugman, Paul","1979","A Model of Innovation, Technology Transfer, and the World Distribution of Income","Z","K,Dynamics","","Product cycle","Technology diffusion","Supporting","3000","3"
"krugman1991increasing","Krugman, Paul","1991","Increasing Returns and Economic Geography","Z","C_ij,C*","","New economic geography","Agglomeration","Core","10000","2"
"kube2012efficiency","Kube, Sebastian; Maréchal, Michel André; Puppe, Clemens","2012","The Currency of Reciprocity: Gift Exchange in the Workplace","AX","","fairness","Workers reciprocate wage increases with higher effort (80% of wage increase returned)","Reciprocity norms in workplace create powerful incentive effects beyond monetary value","Core","980","2"
"kugler2007trust","Kugler, Tamar; Bornstein, Gary; Kocher, Martin G; Sutter, Matthias","2007","Trust Between Individuals and Groups: Groups are Less Trusting Than Individuals but Just as Trustworthy","LIT-SUTTER","CORE-HOW,trust,team_decision_making","Psi_I","Groups trust less than individuals in trust games","Asymmetric group effect on trust vs trustworthiness","Core","400","1"
"kuhn1962","Kuhn, Thomas S.","1962","The Structure of Scientific Revolutions","XX","METHOD-EVIDENCE,philosophy-of-science,paradigms","paradigm","Science progresses through paradigm shifts, not linear accumulation","Explains why disciplinary standards differ and cannot be easily transferred","Methodological","120000","5"
"laibson1997golden","Laibson, David","1997","Golden Eggs and Hyperbolic Discounting","AX","","temporal","Hyperbolic discounting explains preference reversals","Hyperbolic discounting drives preference reversals","Core","4200","2"
"lamont2003aggregate","Lamont, Owen; Thaler, Richard","2003","Can the Market Add and Subtract?","Y","C*,Psi_C","Psi_C","Mispricing","Limits to arbitrage evidence","Supporting","1500","3"
"lebaron2006agent","LeBaron, Blake","2006","Agent-Based Computational Finance","AG","C*,Dynamics","","Artificial markets","Fat tails emerge","Supporting","1500","3"
"levitt2007laboratory","Levitt, Steven; List, John","2007","What Do Laboratory Experiments Tell Us About the Real World?","K","Methodological","","External validity","Lab to field gap","Methodological","3000","5"
"list1997windfall","List, John A.; Shogren, Jason F.","1997","Calibration of Preferences for Environmental Goods","AB","","field_context","Field studies reveal different preferences than lab experiments","","Core","1200","1"
"list1998choice","List, John A.; Shogren, Jason F.","1998","Rational Expectations and Price Discovery in the Field","AB","","market_context","Field experiments reveal price discovery processes","","Core","1000","1"
"list1999auction","List, John A.; Shogren, Jason F.","1999","Auction Institutions and Willingness to Pay","AB","","auction_design","Auction design affects value revelation and efficiency","","Core","1100","1"
"list2000revealed","List, John A.; Shogren, Jason F.","2000","Calibration of Willingness-to-Pay Using Field Auctions","AB","","field_auction","Field auctions reveal different valuations than hypothetical methods","","Core","1400","1"
"list2001willingness","List, John A.","2001","Willingness to Pay versus Willingness to Accept: The Gap Revisited","AB","","field_trading","WTP-WTA gap persists in field settings but narrows with experience","","Core","2200","1"
"list2002aggregating","List, Christian; Pettit, Philip","2002","Aggregating Sets of Judgments","AF","Psi_K,Aggregation","Psi_K","Judgment aggregation","Belief aggregation impossible","Core","1500","2"
"list2002substitutes","List, John A.","2002","Are Preferences Stable?","AB","","repeated_interaction","Preferences change with experience and learning","","Core","1100","1"
"list2003field","List, John A.","2003","Does Market Experience Eliminate Market Anomalies?","AB","","market_experience","Market experience and stakes can eliminate behavioral anomalies","","Core","1500","1"
"list2004field","List, John A.","2004","Field Experiments of Consumer Behavior: How Well Do the Findings Generalize?","AB","","real_world_context","Field experiments often show different results than lab experiments","","Core","3600","1"
"list2004induced","List, John A.","2004","Induced Value Theory and Behavioral Economics","AB","","lab_design","Induced value theory has limitations in behavioral contexts","","Core","900","1"
"list2004neoclassical","List, John","2004","Neoclassical Theory Versus Prospect Theory","K","Psi_C","Psi_C","Field experiments","Experience reduces bias","Supporting","2000","3"
"list2005endowment","List, John A.","2005","The Endowment Effect: Evidence from Market Transactions","AB","","field_trading","Endowment effect diminishes with market experience","","Core","2100","1"
"list2006nonmarket","List, John A.","2006","The Behavioralist Meets the Market: Assessing Allocative Efficiency in Markets with Endogenous Demand","AB","","price_discovery","Markets achieve efficiency despite behavioral anomalies with sufficient experience","","Core","1800","1"
"list2006price","List, John A.","2006","The Price of Salience","AB","","attention","Salience of prices affects market behavior in predictable ways","","Core","1500","1"
"list2007field","List, John A.","2007","Field Experiments: A Bridge Between Lab and Naturally Occurring Data","AB","","experimental_design","Field experiments bridge internal and external validity","","Core","2900","1"
"list2008information","List, John A.","2008","Information Provision and Welfare","AB","","transparency","Information provision can improve allocative efficiency","","Core","1800","1"
"list2008mechanism","List, John A.","2008","Mechanism Design with Behavioral Constraints","AB","","auction_design","Mechanism design must account for behavioral preferences","","Core","1400","1"
"list2008subsidy","List, John A.","2008","Subsidies for Conservation and Environmental Fields","AB","","subsidy_design","Subsidy design affects conservation behavior in field settings","","Core","1200","1"
"list2009hypothesis","List, John A.","2009","Hypothesis Testing in Behavioral Economics","AB","","experimental_design","Field evidence sometimes contradicts lab findings","","Core","1200","1"
"list2009using","List, John A.; Levitt, Steven D.","2009","Using Randomized Field Experiments to Understand Behavioral Anomalies","AB","","experimental_context","Field experiments reveal boundary conditions of behavioral anomalies","","Core","2400","1"
"list2010non","List, John A.; Taylor, Michael K.","2010","Non-Market Valuation in Environmental and Resource Economics","AB","","valuation_method","Non-market valuation methods show large disparities","","Core","1400","1"
"list2010testing","List, John A.","2010","Testing Behavioral Economics in the Wild","AB","","real_world","Behavioral anomalies often disappear in real-world field tests","","Core","2000","1"
"list2011auction","List, John A.","2011","The Behavioralist Meets the Market: Assessing Allocative Efficiency in Market Experiments","AB","","market_context","Markets can mitigate behavioral anomalies through learning","","Core","2700","1"
"list2011behavior","List, John A.","2011","Behavior in Animals and Markets","AB","","biological","Behavioral patterns consistent across species suggests evolutionary origins","","Core","1100","1"
"list2012donation","List, John A.; Karlan, Dean S.","2012","Charitable Giving and the Power of Matching","AB","","matching_incentive","Matching funds increase donations through behavioral motivation","","Core","2300","1"
"list2012matching","List, John A.","2012","The Power of Asking Questions","AB","","solicitation","Simply asking increases charitable giving significantly","","Core","1700","1"
"list2012theory","List, Christian","2012","The Theory of Judgment Aggregation","AF","Psi_K,Aggregation","Psi_K","JA survey","Complete JA theory","Supporting","500","3"
"list2013anchor","List, John A.","2013","Anchoring in Real-World Transactions","AB","","field_anchoring","Anchoring effects persist in real market transactions","","Core","1100","1"
"list2013testing","List, John A.","2013","Testing Rationality in Markets","AB","","market_context","Markets test rationality; experience improves efficiency","","Core","1000","1"
"list2014conservation","List, John A.","2014","Conservation Behavior and Social Preferences","AB","","conservation_context","Environmental behavior motivated by social preferences and norms","","Core","1100","1"
"list2014field","List, John A.","2014","Field Experiments in Economics","AB","","natural_variation","Field experiments bridge lab and naturally occurring data","","Core","800","1"
"list2015mechanisms","List, John A.","2015","Mechanisms for Sustainable Cooperation","AB","","mechanism_design","Mechanism design can induce cooperation in field experiments","","Core","1300","1"
"list2015natural","List, John A.","2015","Using Natural Experiments to Estimate the Effect of Market Changes","AB","","natural_variation","Natural experiments enable causal identification in field settings","","Core","1600","1"
"list2016field","List, John A.","2016","The Naturalist as a Quasi-Experiment: Theory and Applications","AB","","natural_variation","Natural experiments provide causal identification in real-world settings","","Core","3100","1"
"list2016incentive","List, John A.","2016","Incentive Design in Markets","AB","","incentive_design","Incentive design affects market outcomes in predictable ways","","Core","1600","1"
"list2017evidence","List, John A.","2017","Evidence from the Field","AB","","natural_field","Field experiments provide powerful evidence for economic theory","","Core","1600","1"
"list2017pro","List, John A.","2017","Pro-Social Behavior in Markets","AB","","market_context","Pro-social preferences shape behavior even in competitive markets","","Core","1300","1"
"list2018auction","List, John A.","2018","Auction Mechanism Design in the Field","AB","","auction_context","Auction design affects behavior in real-world settings","","Core","1200","1"
"list2018behavioral","List, John A.","2018","Behavioral Economics and Public Policy Design","AB","","policy_design","Behavioral insights improve policy outcomes in field tests","","Core","1900","1"
"list2019choice","List, John A.","2019","Choice Architecture and Market Behavior","AB","","decision_context","Choice architecture affects market outcomes significantly","","Core","1500","1"
"list2019market","List, John A.","2019","Market Forces and Moral Behavior","AB","","market_context","Markets can crowd out moral behavior in some contexts","","Core","1300","1"
"list2020field","List, John A.","2020","Field Experiments for Policy Analysis","AB","","policy_context","Field experiments enable evidence-based policy design","","Core","1400","1"
"list2021behavioral","List, John A.","2021","Behavioral Economics Meets Practice","AB","","real_world","Applied behavioral economics requires field validation","","Core","1200","1"
"loewenstein1987emotions","Loewenstein, George F.","1987","Anticipation and the Valuation of Delayed Consumption","X","","temporal_emotions","Anticipation affects time preferences","Anticipatory emotions alter discount rates","Core","2100","1"
